month,year,gas,approval
8,2002,1.42,0.66
9,2002,1.42,0.7
10,2002,1.45,0.63
11,2002,1.45,0.66
12,2002,1.39,0.63
1,2003,1.47,0.6
2,2003,1.64,0.59
3,2003,1.75,0.59
4,2003,1.66,0.7
5,2003,1.54,0.67
6,2003,1.51,0.62
7,2003,1.52,0.59
8,2003,1.63,0.59
9,2003,1.73,0.51
10,2003,1.6,0.55
11,2003,1.54,0.51
12,2003,1.49,0.61
1,2004,1.59,0.53
2,2004,1.67,0.51
3,2004,1.77,0.51
4,2004,1.83,0.52
5,2004,2.01,0.47
6,2004,2.04,0.49
7,2004,1.94,0.48
8,2004,1.9,0.5
9,2004,1.89,0.52
10,2004,2.03,0.49
11,2004,2.01,0.53
12,2004,1.88,0.52
1,2005,1.82,0.51
2,2005,1.92,0.51
3,2005,2.07,0.52
4,2005,2.28,0.49
5,2005,2.22,0.48
6,2005,2.18,0.47
7,2005,2.32,0.49
8,2005,2.51,0.44
9,2005,2.93,0.43
10,2005,2.79,0.4
11,2005,2.34,0.38
12,2005,2.19,0.42
1,2006,2.32,0.43
2,2006,2.31,0.39
3,2006,2.4,0.37
4,2006,2.76,0.36
5,2006,2.95,0.34
6,2006,2.92,0.38
7,2006,3,0.39
8,2006,2.99,0.4
9,2006,2.59,0.43
10,2006,2.27,0.37
11,2006,2.24,0.34
12,2006,2.33,0.38
1,2007,2.27,0.35
2,2007,2.29,0.33
3,2007,2.59,0.35
4,2007,2.86,0.36
5,2007,3.13,0.33
6,2007,3.05,0.32
7,2007,2.96,0.31
