index,artist,title,medium,year,width,height,gender,artistBirthYear,acquisitionYear,url
1,"Bettes, John",A Man in a Black Cap,Oil paint on oak,1545,0.47,0.41,Male,1531,1897,http://www.tate.org.uk/art/artworks/bettes-a-man-in-a-black-cap-n01496
2,"Eworth, Hans",Portrait of an Unknown Lady,Oil paint on wood,1557,0.597,0.483,Male,1540,1963,http://www.tate.org.uk/art/artworks/eworth-portrait-of-an-unknown-lady-t00606
3,"Eworth, Hans","Portrait of Elizabeth Roydon, Lady Golding",Oil paint on wood,1563,0.378,0.302,Male,1540,1972,http://www.tate.org.uk/art/artworks/eworth-portrait-of-elizabeth-roydon-lady-golding-t01569
4,"Eworth, Hans",Portrait of an Unknown Lady,Oil paint on oak,1565,0.998,0.619,Male,1540,1984,http://www.tate.org.uk/art/artworks/eworth-portrait-of-an-unknown-lady-t03896
5,"Gower, George",Sir Thomas Kytson,Oil paint on oak,1573,0.527,0.4,Male,1540,1952,http://www.tate.org.uk/art/artworks/gower-sir-thomas-kytson-n06090
6,"Gower, George",Lady Kytson,Oil paint on wood,1573,0.685,0.522,Male,1540,1952,http://www.tate.org.uk/art/artworks/gower-lady-kytson-n06091
7,"Gheeraerts, Marcus, II","Portrait of Mary Rogers, Lady Harington",Oil paint on wood,1592,1.13,0.851,Male,1561,1974,http://www.tate.org.uk/art/artworks/gheeraerts-portrait-of-mary-rogers-lady-harington-t01872
8,"Gheeraerts, Marcus, II",Portrait of Captain Thomas Lee,Oil paint on canvas,1594,2.305,1.508,Male,1561,1980,http://www.tate.org.uk/art/artworks/gheeraerts-portrait-of-captain-thomas-lee-t03028
9,"Gheeraerts, Marcus, II",Portrait of an Unknown Lady,Oil paint on wood,1595,0.927,0.76,Male,1561,2001,http://www.tate.org.uk/art/artworks/gheeraerts-portrait-of-an-unknown-lady-t07699
10,"Oliver, Isaac",Charity,"Ink, watercolour and gouache on paper",1596,0.114,0.081,Male,1560,1997,http://www.tate.org.uk/art/artworks/oliver-charity-t10165
11,"Segar, Sir William",Portrait of a Man in a Slashed Black Doublet,Oil paint on oak,1605,1,0.806,Male,1580,1983,http://www.tate.org.uk/art/artworks/segar-portrait-of-a-man-in-a-slashed-black-doublet-t03576
12,"Gheeraerts, Marcus, II","Portrait of a Man in Classical Dress, possibly Philip Herbert, 4th Earl of Pembroke",Oil paint on oak,1610,0.556,0.446,Male,1561,1982,http://www.tate.org.uk/art/artworks/gheeraerts-portrait-of-a-man-in-classical-dress-possibly-philip-herbert-4th-earl-of-t03466
13,"Peake, Robert",Lady Anne Pope,Oil paint on wood,1615,0.571,0.445,Male,1551,1955,http://www.tate.org.uk/art/artworks/peake-lady-anne-pope-t00068
14,"Peake, Robert",Lady Elizabeth Pope,Oil paint on wood,1615,0.775,0.61,Male,1551,1955,http://www.tate.org.uk/art/artworks/peake-lady-elizabeth-pope-t00067
15,"Van Somer, Paul","Lady Elizabeth Grey, Countess of Kent",Oil paint on wood,1619,1.143,0.819,Male,1577,1961,http://www.tate.org.uk/art/artworks/van-somer-lady-elizabeth-grey-countess-of-kent-t00398
16,"Gheeraerts, Marcus, II",Portrait of a Woman in Red,Oil paint on oak,1620,1.143,0.902,Male,1561,1982,http://www.tate.org.uk/art/artworks/gheeraerts-portrait-of-a-woman-in-red-t03456
17,"Johnson, Cornelius","Portrait of Susanna Temple, Later Lady Lister",Oil paint on oak,1620,0.679,0.518,Male,1593,1981,http://www.tate.org.uk/art/artworks/johnson-portrait-of-susanna-temple-later-lady-lister-t03250
18,"Bacon, Sir Nathaniel",Cookmaid with Still Life of Vegetables and Fruit,Oil paint on canvas,1620,1.51,2.475,Male,1585,1995,http://www.tate.org.uk/art/artworks/bacon-cookmaid-with-still-life-of-vegetables-and-fruit-t06995
